player,position,team,l15,expected
ndam,defender,bulls,26,46.81
carmona,midfielder,bulls,27,46.70
stroud,midfielder,bulls,29,47.98
caicedo,midfielder,dynamo,33,48.32
yearwood,midfielder,bulls,33,46.87
cremaschi,midfielder,miami,33,45.73
barlow,forward,bulls,30,40.39
chu,midfielder,seattle,40,49.79
burke,forward,bulls,34,42.60
morris,forward,seattle,52,59.27
martinez,forward,miami,41,48.16
harper,forward,bulls,42,49.13
atencio,midfielder,seattle,44,50.65
taylor,midfielder,miami,35,40.96
nealis,defender,bulls,40,45.65
franco,midfielder,dynamo,38,43.33
miller,defender,miami,44,48.72
ibrahim,forward,dynamo,42,46.14
fernandez,midfielder,bulls,39,43.00
artur,midfielder,dynamo,47,50.46
yedlin,defender,miami,40,42.09
lodeiro,midfielder,seattle,61,62.82
andrade,defender,seattle,57,57.75
coronel,goalkeeper,bulls,43,43.01
ragen,defender,seattle,55,54.44
callender,goalkeeper,miami,46,45.41
carrasquilla,midfielder,dynamo,49,48.31
bartlow,defender,dynamo,44,42.78
frei,goalkeeper,seattle,54,51.90
baird,forward,dynamo,50,47.40
escobar,defender,dynamo,54,51.13
roldan,defender,seattle,60,56.24
tolkin,defender,bulls,60,55.92
micael,defender,dynamo,53,47.88
negri,defender,miami,59,53.27
campana,forward,miami,52,46.02
steres,defender,dynamo,55,48.02
clark,goalkeeper,dynamo,54,46.59
