3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
1st,Lionel Messi,Forward  - 35,73.3,"Ξ 0,303"
2nd,Enzo Le Fée,Midfielder  - 22,65.8,"Ξ 0,0709"
3rd,Rémy Cabella,Midfielder  - 32,65.0,"Ξ 0,0486"
4th,Benjamin Bourigeaud,Midfielder  - 29,64.4,"Ξ 0,0715"
5th,Andrei Girotto,Defender  - 30,63.7,"Ξ 0,0147"
6th,Alexandre Lacazette,Forward  - 31,63.1,"Ξ 0,103"
7th,Kylian Mbappé,Forward  - 24,63.0,"Ξ 0,716"
8th,Dejan Lovren,Defender  - 33,62.8,"Ξ 0,0294"
9th,Nabil Bentaleb,Midfielder  - 28,62.2,"Ξ 0,0226"
10th,Branco van den Boomen,Midfielder  - 27,62.0,"Ξ 0,0574"
11th,Benjamin André,Midfielder  - 32,61.7,"Ξ 0,0161"
12th,Jean-Charles Castelletto,Defender  - 27,61.6,"Ξ 0,0118"
13th,Chancel Mbemba,Defender  - 28,61.2,"Ξ 0,0410"
14th,Facundo Medina,Defender  - 23,59.7,No sale
15th,Pierre Lees-Melou,Midfielder  - 29,59.5,"Ξ 0,0128"
16th,Azor Matusiwa,Midfielder  - 24,59.3,"Ξ 0,0173"
17th,Yehvann Diouf,Goalkeeper  - 23,58.8,"Ξ 0,121"
18th,Emmanuel Agbadou,Defender  - 25,58.7,"Ξ 0,0122"
19th,Johan Gastien,Midfielder  - 35,58.2,"Ξ 0,0055"
20th,Kasper Schmeichel,Goalkeeper  - 36,57.8,No sale
21st,Jean-Ricner Bellegarde,Midfielder  - 24,57.6,"Ξ 0,0140"
22nd,Juan Bernat,Defender  - 29,57.3,"Ξ 0,0056"
23rd,Stijn Spierings,Midfielder  - 26,57.1,"Ξ 0,0188"
24th,Neto Borges,Defender  - 26,56.9,"Ξ 0,0078"
25th,Aleksandr Golovin,Midfielder  - 26,56.9,"Ξ 0,0329"
26th,Yunis Abdelhamid,Defender  - 35,56.3,"Ξ 0,0072"
27th,Jean-Clair Todibo,Defender  - 23,56.0,No sale
