3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
1st,Rodri,Midfielder  - 26,68.0,No sale
2nd,Bruno Fernandes,Midfielder  - 28,67.9,No sale
3rd,Teddy Teuma,Midfielder  - 29,66.0,"Ξ 0,0805"
4th,Maxim De Cuyper,Defender  - 22,64.2,"Ξ 0,0886"
5th,Mike Trésor,Midfielder  - 23,64.1,"Ξ 0,118"
6th,Daniel Muñoz,Defender  - 26,63.8,"Ξ 0,0731"
7th,Stef Peeters,Midfielder  - 30,62.5,"Ξ 0,0214"
8th,Carlos Henrique Casimiro,Midfielder  - 30,62.3,"Ξ 0,0608"
9th,Harry Kane,Forward  - 29,62.2,No sale
10th,Pierre-Emile Højbjerg,Midfielder  - 27,62.0,No sale
11th,Rodrigo Bentancur,Midfielder  - 25,61.8,"Ξ 0,0530"
12th,Kevin De Bruyne,Midfielder  - 31,61.2,"Ξ 1,753"
13th,Luke Shaw,Defender  - 27,60.5,No sale
14th,Boris Lambert,Defender  - 22,60.4,"Ξ 0,0233"
15th,Erling Haaland,Forward  - 22,59.8,"Ξ 0,807"
16th,Joseph Okumu,Defender  - 25,59.7,"Ξ 0,0407"
17th,Alhassan Yusuf,Midfielder  - 22,59.5,"Ξ 0,0275"
18th,Toby Alderweireld,Defender  - 33,58.9,"Ξ 0,0302"
19th,Maarten Vandevoordt,Goalkeeper  - 20,58.7,"Ξ 0,285"
20th,Carlos Cuesta,Defender  - 23,58.3,"Ξ 0,0187"
21st,Jean Amani,Midfielder  - 24,58.0,"Ξ 0,0174"
22nd,William Balikwisha,Midfielder  - 23,57.7,"Ξ 0,0270"
23rd,Brandon Mechele,Defender  - 29,57.5,"Ξ 0,0298"
24th,Thibo Somers,Forward  - 23,57.4,"Ξ 0,0274"
25th,Arnaud Bodart,Goalkeeper  - 24,57.3,"Ξ 0,0770"
26th,Noë Dussenne,Defender  - 30,57.2,"Ξ 0,0080"
27th,Kévin Denkey,Forward  - 22,57.1,"Ξ 0,0471"
28th,John Stones,Defender  - 28,57.1,No sale
29th,Patrik Hrošovský,Midfielder  - 30,57.1,"Ξ 0,0111"
30th,Dante Vanzeir,Forward  - 24,57.1,"Ξ 0,0373"
31st,Christian Eriksen,Midfielder  - 30,56.5,No sale
32nd,Nicolas Rommens,Midfielder  - 28,56.5,"Ξ 0,0060"
33rd,Ken Nkuba,Forward  - 20,56.4,"Ξ 0,0257"
34th,Nicolas Madsen,Midfielder  - 22,56.4,"Ξ 0,0200"
35th,Hyun-seok Hong,Midfielder  - 23,56.4,"Ξ 0,0368"
36th,Greg Taylor,Defender  - 25,56.4,"Ξ 0,0159"
37th,Robert Snodgrass,Midfielder  - 35,56.3,No sale
38th,Christian Burgess,Defender  - 31,56.2,"Ξ 0,0205"
39th,Adem Zorgane,Midfielder  - 23,56.0,"Ξ 0,0306"
40th,William Pacho,Defender  - 21,56.0,"Ξ 0,0330"
41st,Vincent Janssen,Forward  - 28,55.9,"Ξ 0,0483"
42nd,Wolke Janssens,Defender  - 28,55.9,"Ξ 0,0069"
43rd,Mark McKenzie,Defender  - 23,55.9,"Ξ 0,0199"
44th,Senne Lynen,Midfielder  - 23,55.8,"Ξ 0,0118"
45th,Malik Tillman,Midfielder  - 20,55.7,"Ξ 0,0572"
46th,Paul Nardi,Goalkeeper  - 28,55.5,"Ξ 0,105"
47th,Rob Schoofs,Midfielder  - 28,55.5,"Ξ 0,0261"
