"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","text-rare","font-semibold","text-super-rare","font-semibold 2","font-semibold 3"
"1st","https://www.soraredata.com/player/2131789614129711069437843452488131406807081772713601426385532324179566478458","https://assets.sorare.com/player/ca76bbf2-7579-42c0-b6a1-a34837098d3b/picture/avatar-c372c3ce7389c673555cc40104a20920.png","Rômulo","Midfielder  - 27","73.3","100%  PLAYED","77.2","100%  PLAYED","62.9","93%  PLAYED","No sale","Ξ 0,860","Last public sale","Ξ 0,250","Last public sale",""
"2nd","https://www.soraredata.com/player/69514649794500782574156372786098048808183056372987640714909404652714441528355","https://assets.sorare.com/player/e468eaf2-c164-4bed-955f-5eee31cbae66/picture/avatar-f219c8a2b598df9fd0804549e5bae7ad.png","Raphaël Guerreiro","Defender  - 29","89.5","100%  PLAYED","75.5","80%  PLAYED","65.4","73%  PLAYED","Ξ 0,0305","Ξ 0,201","3-day average","Ξ 0,600","3-day average","Last public sale"
"3rd","https://www.soraredata.com/player/84420280232705767100744134726285460114191349910111319343201787663372845826792","https://assets.sorare.com/player/b8192097-da7c-485d-9527-e1de4905449e/picture/avatar-197f05c0a6e8625fe7d68c55241e907d.png","Douglas Santos","Defender  - 29","68.0","100%  PLAYED","74.4","100%  PLAYED","70.4","98%  PLAYED","Ξ 0,109","Ξ 1,050","3-day average","Ξ 2,000","Last public sale","Last public sale"
"4th","https://www.soraredata.com/player/25231422346618897466161184991066014710242912075232564827261144631247649555194","https://assets.sorare.com/player/9ef65b0a-f901-41fe-b6a1-b8af3a9fcef5/picture/avatar-ce63d2a9f3c92146fcc21ff65e53b1b2.png","Lionel Messi","Forward  - 35","71.1","100%  PLAYED","73.6","93%  PLAYED","79.0","85%  PLAYED","Ξ 0,107","Ξ 1,244","3-day average","Ξ 8,326","2-week average","Last public sale"
"5th","https://www.soraredata.com/player/35038311752120278071619477081153224633324202400622245866546012409913361955818","https://assets.sorare.com/player/61f01ba8-e1ed-4c89-9066-bd55f6d0a416/picture/avatar-a68cd1e3808b0f1e9d6c9ee5fa927255.png","Malcom","Forward  - 26","75.2","100%  PLAYED","73.1","100%  PLAYED","68.5","98%  PLAYED","Ξ 0,114","Ξ 1,353","3-day average","Ξ 5,595","Last public sale","Last public sale"
"6th","https://www.soraredata.com/player/50166400733305245987445259038581862248098165934427002536851741874241679137447","https://assets.sorare.com/player/fb2d8eb4-db7e-4294-98bd-46bae13a0757/picture/avatar-ae64b698325dae91da2fcdc5942a63a7.png","Dušan Tadić","Forward  - 34","63.6","100%  PLAYED","72.1","100%  PLAYED","68.2","98%  PLAYED","Ξ 0,0572","Ξ 0,730","3-day average","Ξ 3,685","7-day average","Last public sale"
"7th","https://www.soraredata.com/player/98774637337413432031202097740829795153713358821649474254331189588818936588281","https://assets.sorare.com/player/95e2ea7e-4d30-4124-b961-f5b005dc0f13/picture/avatar-9563f4d3fe6c00d0c60b7ab65a3547b4.png","Carlo Holse","Forward  - 23","55.1","60%  PLAYED","72.0","87%  PLAYED","57.9","95%  PLAYED","Ξ 0,0383","Ξ 0,310","3-day average","Ξ 1,082","7-day average","1-month average"
"8th","https://www.soraredata.com/player/22915234903449158246403537433902045987288409333852354082917216816513783018829","https://assets.sorare.com/player/384d2f5e-cc75-415e-816f-daa9bfbc23eb/picture/avatar-f17f6f94efa7649f344ea5b4d58e9b53.png","Nicolás Otamendi","Defender  - 35","72.4","80%  PLAYED","71.9","87%  PLAYED","65.6","95%  PLAYED","Ξ 0,0230","Ξ 0,263","3-day average","Ξ 1,233","7-day average","7-day average"
"9th","https://www.soraredata.com/player/36719268317633023949536191224654601118633385052868472490174991756884155749581","https://assets.sorare.com/player/d8715c35-649c-4fa4-bc8f-aec7a3b0c009/picture/avatar-11ce29afcae1b6b1f6c2ee104146dd3a.png","Cesinha","Forward  - 33","72.6","60%  PLAYED","71.5","80%  PLAYED","65.3","70%  PLAYED","Ξ 0,0401","Ξ 0,277","3-day average","Ξ 2,028","3-day average","Last public sale"
"10th","https://www.soraredata.com/player/3558382120827233735723816500193313364662938234811237976238517430585021577354","https://assets.sorare.com/player/3d24d845-4f84-428e-9099-6ed4f2038f68/picture/avatar-64bb281bfd9866b7b7af0ae7f8aaaf42.png","Grimaldo","Defender  - 27","63.1","100%  PLAYED","71.5","100%  PLAYED","69.0","98%  PLAYED","Ξ 0,0587","Ξ 0,334","3-day average","Ξ 1,082","7-day average","3-day average"
